common_name,sci_name
Hairy-legged Vampire Bat,Diphylla ecaudata
Big Naked-backed Bat,Pteronotus gymnonotus
Northern Little Yellow-eared Bat,Vampyressa thyone
Niceforo's Big-eared Bat,Trinycteris nicefori
Fringe-lipped Bat,Trachops cirrhosus
Bladder grasshopper,Pneumora inanis
Chestnut-headed Nunlet,Nonnula amaurocephala
White-quilled Rock Pigeon,Petrophassa albipennis
Silver-tipped Myotis,Myotis albescens
Restless Bush Cricket,Hapithus agitator
Genovesa Ground Finch,Geospiza acutirostris
Fringed Long-footed Myotis,Myotis fimbriatus
Japanese Pipistrelle,Pipistrellus abramus
White-throated Round-eared Bat,Lophostoma silvicola
Common Tent-making Bat,Uroderma bilobatum
Vampire Ground Finch,Geospiza septentrionalis
False jumping bush cricket,Hapithus luteolira
Calusa trig,Anaxipha calusa
Gambian Epauletted Fruit Bat,Epomophorus gambianus
Mundurra Balloon-winged Katydid,Hexacentrus mundurra
Queensland Palm Katydid,Segestidea queenslandica
Little Red Flying Fox,Pteropus scapulatus
Fall Field Cricket,Gryllus pennsylvanicus
Spring field cricket,Gryllus veletis
White-striped Free-tailed Bat,Austronomus australis
Froggatt's buzzer,Froggattina australis
Black Flying Fox,Pteropus alecto
Queensland Tube-nosed Fruit Bat,Nyctimene robinsoni
Long-billed Bush Warbler,Locustella major
Columbian trig,Cyrtoxipha columbiana
Handsome Trig,Phyllopalpus pulchellus
Opalton Grasswren,Amytornis rowleyi
White-breasted Ground Dove,Pampusana jobiensis
Isophya rectipennis,Molossus molossus
Pallas's Mastiff Bat,Molossus rufus
Common Black Mastiff Bat,Rhinopoma cystops
Arabian Mouse-tailed Bat,Carollia sowelli
Sowell's Short-tailed Bat,Carollia perspicillata
Seba's Short-tailed Bat,Artibeus lituratus
Great Fruit-eating Bat,Vampyrum spectrum
Spectral Bat,Barbastella leucomelas
Arabian Barbastelle,Taphozous nudiventris
Naked-rumped Tomb Bat,Myotis punicus
Maghreb Myotis,Myotis blythii
Lesser Myotis,Nyctalus lasiopterus
Greater Noctule,Myotis bechsteinii
Bechstein's Myotis,Myotis myotis
Greater Myotis,Myotis nattereri
Natterer's Myotis,Myotis alcathoe
Alcathoe Whiskered Myotis,Myotis capaccinii
Long-fingered Myotis,Eptesicus serotinus
Eurasian Serotine,Nyctalus leisleri
Leisler's Noctule,Myotis brandtii
Brandt's Myotis,Myotis mystacinus
Common Whiskered Myotis,Plecotus macrobullaris
Alpine Long-eared Bat,Myotis crypticus
Cryptic Myotis,Rhinolophus hipposideros
Lesser Horseshoe Bat,Rhinolophus ferrumequinum
Greater Horseshoe Bat,Rhinolophus euryale
Mediterranean Horseshoe Bat,Myotis escalerai
Escalera's Myotis,Myotis emarginatus
Geoffroy's Myotis,Plecotus austriacus
Gray Long-eared Bat,Miniopterus schreibersii
Schreibers's Long-fingered Bat,Pipistrellus kuhlii
Kuhl's Pipistrelle,Hypsugo savii
Savi's Pipistrelle,Uroderma convexum
Pacific Tent-making Bat,Rhynchonycteris naso
Proboscis Bat,Pteronotus mesoamericanus
Mesoamerican Common Mustached Bat,Platyrrhinus helleri
Heller's Broad-nosed Bat,Noctilio leporinus
Greater Bulldog Bat,Gardnerycteris crenulatum
Striped Hairy-nosed Bat,Micronycteris minuta
Tiny Big-eared Bat,Micronycteris microtis
Common Big-eared Bat,Micronycteris hirsuta
Hairy Big-eared Bat,Lophostoma brasiliense
Pygmy Round-eared Bat,Dasypterus ega
Southern Yellow Bat,Glossophaga soricina
Pallas's Long-tongued Bat,Eptesicus furinalis
Argentine Serotine,Eptesicus brasiliensis
Brazilian Serotine,Dermanura watsoni
Thomas's Fruit-eating Bat,Centurio senex
Wrinkle-faced Bat,Carollia castanea
Chestnut Short-tailed Bat,Artibeus jamaicensis
Jamaican Fruit-eating Bat,Myotis dasycneme
Arcyptera brevipennis,Aeorestes cinereus
Pond Myotis,Lasiurus borealis
Northern Hoary Bat,Pteropus medius
Eastern Red Bat,Eptesicus fuscus
Indian Flying Fox,Hamirostra melanosternon
Big Brown Bat,Myotis daubentonii
Black-breasted Buzzard,Tadarida teniotis
Daubenton's Myotis,Caprimulgus stellatus
European Free-tailed Bat,Euplectes jacksoni
Star-spotted Nightjar,Setopagis heterura
Jackson's Widowbird,Turnix melanogaster
Todd's Nightjar,Mirafra williamsi
Black-breasted Buttonquail,Gryllus rubens
Williams's Lark,Gryllus fultoni
